id	title	device_name	similar_devices	about	network	company	locations	consumer_release	compatibility	price	connectivity	primary_applications	image_name	potential_workplace_benefits	power_source	componentry
51	FashionTEQ Zazzi	Zazzi	"Cuff,Ringblingz Ring,ElectricFoxy Pulse,Geak Ring,Fin Thumbring"	"          The FashionTEQ Zazzi wearable device is a smart jewel that can be worn as a bracelet, a ring or a pendant necklace. This technological device offers the simple features of smartphones such as incoming messages and calls display and push notifications. Zazzi mostly targets busy and active women who wish to communicate via their phone in a non-disrupting and discrete way. The system works via iOS and Android applications."	"http://fashionteq.com/,http://pinterest.com/fashionteq,http://facebook.com/Fashionteq,http://twitter.com/Fashionteq,http://www.youtube.com/channel/UCDB4jTZb4CTW6oMTCpFjdiQ"	FashionTEQ	"Wrist,Fingers,Neck"	Undisclosed	"Android,iOS"	$249.00 USD	Bluetooth	Lifestyle	FashionTEQ%20Zazzi.png?itok=gxBgKVoQ	Communication	Rechargeable Battery	E-Paper Display
52	Fatigue Science Readiband	Readiband	"Air Scouter,FitBit Flex,BSX Insight,Polar Loop,Garmin Forerunner GPS Heart Rate Watch"	"          The ReadiBand is a wearable device worn on the wrist and designed to collect wrist movement data. From this data, Fatigue Science is able to calculate the quality and quantity of sleep during the night, as well as the activity levels during the day. This computing data can be converted into an objective fatigue level and then quantify the wearer%u2019s effectiveness score, reaction times and relative accident risk. The ReadiBand is roughly 93% accurate at determining when the user is asleep. From this information, the wearable device uses an algorithm that correlates sleep and fatigue levels to determine the point at which someone%u2019s fatigue levels will reach the equivalent of having a 0.08 blood alcohol level. This is achieved by comparing a person%u2019s fatigue levels to the number of human errors and delayed reaction time of an impaired person. By finding a correlation, Fatigue Science is able to accurately compare risk of a fatigued worker."	"http://fatiguescience.com/solutions/readiband/,https://www.facebook.com/fatiguescience?fref=ts,http://www.twitter.com/fatiguescience,http://www.youtube.com/user/FatigueScience"	Fatigue Science	Wrist	Available Now for Enterprise Only	"Windows,OSX"	No Announcement Yet	ANT+	"Medical,Industrial,Lifestyle"	Fatigue%20Science%20Readiband.png?itok=RXTQK8YL	Health	Rechargeable Battery	"Accelerometer,Gyroscope,LED Display"
53	Filip Smartwatch	Filip	"Omate TrueSmart Watch,HereO,sWaP Watches,PFO Safety Bracelet,KMS Wristband"	"          The Filip is a wearable smartwatch with limited phone capabilities and is primarily designed for children. Many parents would like to have a direct line of communication with their child, but are hesitant at giving their child a phone. The Filip has a colorful and robust design and is simple to wear and use. Children can use the one-touch-call function to communicate with their parents while parents can call the device and find its location."	http://www.myfilip.com/	Filip	Wrist	Available Now	"iOS,Android"	$199.99 USD	"Cellular Network,WiFi"	Lifestyle	FiLip-Smart-Watch-for-Kids-600x400.png?itok=b0DwTpR9	Security	Rechargeable Battery	"Button Interface,LCD Display,Clock"
54	Fin Thumbring	Fin	"Logbar Ring,Thumb Track,Ringblingz Ring,ElectricFoxy Pulse,Geak Ring"	"          The Fin Thumbring is a gesture based control technological device that fits on the user's thumb. The wearable device supports an array of swipes and taps. The final product is looking to distinguish between taps on different segments of each finger. Additional custom gestures could also be programmed. The Fin is waterproof, flexible, and each battery charge will last for one week.       "	"http://wearfin.com/,https://www.facebook.com/wearfin,https://twitter.com/wearfin,http://www.youtube.com/user/RHLvision"	RHLvision Technologies Pvt.Ltd	Fingers	Est. June 2014	"Windows,OSX,iOS,Android,Windows Mobile"	$99.00 USD	"Bluetooth,USB"	Lifestyle	Fin%20Thumbring.png?itok=W2hrDPDh	Productivity	Rechargeable Battery	Undisclosed
55	FitBark Tracker	Tracker	"Tagg Pet Tracker,Cuff,Voyce Dog Monitor,Narrative Clip,FashionTEQ Zazzi"	"          The FitBark is a wearable activity monitor designed for dogs. It monitors activity levels and provides analytics on how the dog is spending its time. In addition the FitBark can give activity recommendations based on breed. In addition, all the computing data that the FitBark records can be shared with a vet or trainer. The FitBark device is rugged, waterproof, and each charge will last up to 7 days."	"http://www.fitbark.com/,https://twitter.com/fitbark,https://www.facebook.com/FitBark,http://www.pinterest.com/fitbark/,http://www.youtube.com/fitbarkteam"	FitBark	Neck	Est. March 2014	"iOS,Android"	$99.00 USD	Bluetooth	Pets Animals	download%20%281%29.jpg?itok=lED4vvfj		Rechargeable Battery	Accelerometer
56	FitBit Flex	Flex	"Epson Pulsense Wristband,Polar Loop,Nike FuelBand SE,Jaybird Reign,Kapture Audio Recording Wristband Watch"	"          The Fitbit Flex%u2122 is a sleek wristband that provides real-time stats on a user's daily fitness activity. By using leading edge sensor technology, this hi-tech wearable device is able to track all active minutes throughout the day including number of steps taken, distance traveled, stairs climbed, and calories burned. The wearable wristband is equipped with wireless connectivity abilities that allows it to sync automatically to computers and smart phones."	"http://www.fitbit.com/force,https://www.facebook.com/fitbit,https://twitter.com/fitbit,http://www.youtube.com/user/FitbitOfficialSite,https://plus.google.com/+fitbit"	FitBit	Wrist	Available Now	"Android,iOS,OSX,Windows"	$99.95 USD	Bluetooth	"Fitness,Lifestyle"	61YRYwYtSJL._SL1500__0.jpg?itok=Z0gIKy6U	Health	Rechargeable Battery	"Accelerometer,LED Display,Vibrator"
57	FitBit Force	Force	"GOQii Activity Band,LG Lifeband Touch,Fitbit One,Razer Nabu,FitBit Flex"	"          The Fitbit Force%u2122 is a sleek wristband that provides real-time stats on a user's daily fitness activity. By using leading edge sensor technology, the FitBit Force%u2122 is able to track all active minutes throughout the day including number of steps taken, distance traveled, stairs climbed, and calories burned. The wearable wristband is equipped with wireless connectivity abilities that allows it to sync automatically to computers and smart phones."	"http://www.fitbit.com/force,https://www.facebook.com/fitbit,https://twitter.com/fitbit,http://www.youtube.com/user/FitbitOfficialSite,https://plus.google.com/+fitbit"	FitBit	Wrist	Available Now	"Android,iOS,OSX,Windows"	$129.95 USD	Bluetooth	"Fitness,Lifestyle"	FitBit%20Force_0.jpg?itok=fpcz72Iq	Health	Rechargeable Battery	"Accelerometer,OLED Display,Vibrator"
58	Fitbit One	Fitbit One	"Fitbug Orb  ,Razer Nabu,Misfit Shine,BioPatch,FitBit Force"	"          The Fitbit One%u2122 is a tiny 8 gram fitness and sleep monitoring device that stores real-time fitness data. The device can detect the numbers of steps taken, distance traveled and stairs climbed. It has a simplistic one button control which displays different fitness information on the OLED display. The Fitbit One%u2122 can also measure hours of sleep and has vibrator which acts as an alarm. Furthermore, this wearable device is equipped with Bluetooth connectivity that is compatible with computers and smart phones."	"http://www.fitbit.com/one,http://facebook.com/fitbit,http://twitter.com/fitbit,http://pinterest.com/fitbit"	Fitbit	"Wrist,Body (Anywhere)"	Available Now	"Windows,OSX,Android,iOS"	$99.95 USD	WiFi	"Fitness,Lifestyle"	FitnessOne.png?itok=sqMq9dcg	Health	Rechargeable Battery	"OLED Display,Clock,Accelerometer,Vibrator,Altimeter,Button Interface"
59	Fitbug Orb  	Orb	"Xensr ,Fitbit One,BPM Physio,Misfit Shine,Zio XT Patch"	"          The Fitbug Orb device is a movement, fitness and sleep tracker. It can be worn as a bracelet, a necklace, in the pockets or anywhere on the clothes. The wearable device links to a smartphone app which records and analyzes sleep, exercise and eating patterns. The Orb aims at improving physical and mental health by providing necessary information to the user, increasing motivation and maximizing performance."	"https://www.fitbug.com,https://twitter.com/FitbugActive,https://www.facebook.com/Fitbug?ref=br_rs,https://plus.google.com/103157557564535515209,http://www.youtube.com/user/FitbugLtd"	Fitbug	"Wrist,Body (Anywhere)"	Available Now	"Android,iOS"	$49.95 USD	Bluetooth	"Fitness,Medical"	Fitbug%20Orb.png?itok=Q6f-m_yV	Health	Disposable Battery	Undisclosed
60	Fly Fit	Fly Fit	"Moov Activity Monitor,EasyWakeMe,Jawbone Up,Icedot Crash Sensor,NZN Lit"	"          The Fly Fit is a fitness tracker that is worn on the ankle of the user. The main difference between this wearable device and other fitness trackers is that this device can measure multiple activities such as swimming, walking, cycling and running. All the fitness information is synced to a mobile device and the changes in speed and distance traveled can be viewed in real-time. This device can also use its onboard computer to measure sleeping patterns such as hours of sleep and sleep quality."	http://www.myflyfit.com/	Fly Fit	Ankle	Preorder Only	iOS	$119.00 USD	Bluetooth	Fitness	Fly%20fit_1.png?itok=gmd44CD9	Health	Rechargeable Battery	
61	Fujitsu Glove-Style Wearable Device	Fujitsu Glove-Style Wearable Device	"BEARTek Bluetooth Gloves,I-limb Ultra,Peregrine,SensoGlove,Sqord PowerPod"	"          The Fujitsu Glove-Style is a wearable smart glove equipped with a Near Field Communication (NFC) tag reader and gesture-recognition device, and is designed for maintenance and industrial usage. This hi-tech device enables the users to control their smartphones without having to reach for them. The gesture control is triggered by a dorsiflexed bending of the hand. This movement is very uncommon in everyday tasks, and thanks to it the device is able to distinguish regular hand movements from commands."	"http://www.ubergizmo.com/2014/02/fujitsu-glove-style-wearable-device/,https://www.facebook.com/fujitsuICT,https://plus.google.com/+Fujitsu/posts"	Fujitsu	Hand	Undisclosed	"iOS,Android,Windows Mobile,Blackberry"	No Announcement Yet	"Bluetooth,WiFi"	Lifestyle	Fujitsu-Glove.png?itok=kbJ4gBQX	Communication	Rechargeable Battery	"Gyroscope,Accelerometer,Gesture Interface"
62	Fun'iki Ambient Glasses	Fun'iki Ambient Glasses	"Optinvent Ora-S,Vigo Fatigue Monitor,Buhel Speakgoggle,GlassUp,Buhel Speakglasses"	"          The Fun'iki Ambient Glasses is a pair of digital glasses that can be linked to a smart phone to alert the user of notifications by colored LED lights and small speakers built into the frame. This wearable device can be controlled on the smart phone. Using the timer and tempo mode, the user can set when the LED lights and speakers to turn on. The glasses can also receive incoming text messaging by Morse code."	"http://fun-iki.com/index_en.html,https://www.facebook.com/funikiambientglass,https://twitter.com/funiki_glasses"	Japanese Institute of Advanced Media Arts and Sciences (IAMAS) and Paris Miki Holdings Inc	Head	Undisclosed	"iOS,Blackberry"	No Announcement Yet	"Bluetooth,USB"	Lifestyle	Funiki.png?itok=SRDcmSJN	Productivity	Rechargeable Battery	"Accelerometer,Ambient Light Sensor,Audio Speaker"
63	Game Golf	Game Golf	"LUMO Back,iHealth Activity And Sleep Tracker,Proteus Helius,Theatro ,OMG Autographer"	"          The Game Golf designed by Active Mind Technology is a wearable digital tracking system used by golfers. This wearable device is worn on the belt and analyses golf swings by simply tapping the tags installed on the golf clubs against the wearable device. The golfing data, such as shot locations and distances, can be viewed on the computer and mobile devices. The statistics component of the data and can be compared and analyzed so that golfers can improve their game."	"http://www.gamegolf.com/products/en-us/gamegolf,https://www.facebook.com/GAMEGOLF,https://twitter.com/intent/follow?source=followbutton&variant=1.0&screen_name=@gameyourgame"	Active Mind Technology	Waist	Available Now	"iOS,OSX"	$249.00 USD	USB	Lifestyle	game-golf.png?itok=3VXXsZhM		Rechargeable Battery	GPS
64	Garmin Approach S3	Approach S3	"Adidas Smart Run,Garmin Forerunner GPS Heart Rate Watch,Polar RCX5,Suunto Ambit,Epson Pulsense Watch"	"          The Garmin Approach S3 is a wearable GPS equipped golf watch that comes preloaded with over 30,000 international golf courses. It can precisely display the distances to the front, back, and middle of greens. Readable in sunlight, the glove-friendly touchscreen uses Green View to provide the true shape and layout of the green. Furthermore, this device can be used to print digital scorecards for Stroke Play and Stableford."	"https://buy.garmin.com/en-US/US/into-sports/golfing/approach-s3/prod108731.html,http://www.youtube.com/user/TheGPSStoreInc,https://www.facebook.com/Garmin,https://twitter.com/Garmin,https://plus.google.com/u/0/+garmin/posts"	Garmin	Wrist	Available Now	"OSX,Windows"	$269.99 USD	USB	Fitness	Garmin%20Approach%20S3_0.jpg?itok=s_L55XVx	Health	Rechargeable Battery	"GPS,LCD Display,Clock,Touch Interface,Button Interface"
65	Garmin Forerunner GPS Heart Rate Watch	Forerunner 910XT	"Suunto Ambit,Motorola Motoactv,Recon Instruments Snow2,Garmin Approach S3,Polar RCX5"	"          The Garmin Forerunner 910XT is an all-in-one wearable device that provides detailed metrics for swimming, running, and cycling. These metrics include tracking distance, pace, elevation, and heart rate. Furthermore, the ability to track swim distance, stroke identification, efficiency, stroke count, and pool lengths make this device ideal for swimmers. Using Garmin Connect%u2122, users are later able to view the path that they traveled and analyze it for future improvements."	"http://sites.garmin.com/forerunner910xt/,http://www.youtube.com/user/TheGPSStoreInc,https://www.facebook.com/Garmin,https://twitter.com/Garmin,https://plus.google.com/u/0/+garmin/posts"	Garmin	Wrist	Available Now	"OSX,Windows"	$449.99 USD	ANT+	Fitness	Garmin%20Forerunner%20GPS%20Heart%20Rate%20Watch_0.jpg?itok=zvoJqsRw	Health	Rechargeable Battery	"GPS,LCD Display,Clock,Button Interface"
66	Garmin Vivofit	Vivo	"Garmin Forerunner GPS Heart Rate Watch,Kreyos Meteor,Suunto Ambit,Fatigue Science Readiband,Samsung Gear Fit"	"          The Garmin Vivofit is a wearable wrist band that measures activity levels, sleeping patterns and heart rate. This device has a wireless connectivity allowing wireless uploads of fitness data to the computer. Vivofit works even when sleeping, this hi tech device will measure the total sleep hours and sleeping movements. Using the online Garmin connect software, the user can view a complete picture of the fitness activities and recovery of training sessions. This device comes in five different colors and adjustable bands for different size wrist."	http://sites.garmin.com/vivo/	Garmin	Wrist	Available Now	"Undisclosed,Windows"	$179.99 CAD	"Bluetooth,Proprietary,ANT+"	"Lifestyle,Fitness"	garmin_vivofit_blue_-1_0.jpg?itok=eBcIqObC	Health	Disposable Battery	"Undisclosed,Accelerometer,Heart Rate Monitor"
67	Geak Ring	Ring	"Ringblingz Ring,ElectricFoxy Pulse,Fin Thumbring,Logbar Ring,Thumb Track"	"          The Geak Ring is a Near Field Communication (NFC) wearable designed to unlock devices and facilitate access to smartphones' contact database. The ring can automatically unlock a phone without a password as long as it is being worn by the user, who also has the possibility to share the contact card with other NFC-enabled devices. Geak Ring will work with GEAK Eye and GEAK Mars quad-core phones, as well as some Samsung, Xiaomi and Oppo devices. Technically, this device doesn't completely qualify as Wearable Technology"" by our strictest definition"	"http://www.igeak.com/Ring,https://twitter.com/GEAK_Snda"	Geak	Fingers	Nov-14	Android	$30.00 USD	Bluetooth	Lifestyle	Geak%20Ring_0.jpg?itok=FfpXxwSc	Security	Rechargeable Battery	Undisclosed
68	Geopalz iBitz	iBitz	"Proteus Helius,3L Labs Footlogger,Amiigo Fitness Band,Lechal Shoe,Owlet Baby Monitor"	"The Geopalz iBitz is a wearable hi tech pedometer designed for adults and children. It originally measures the number of steps taken and can also be synchronized to an application available in the Apple Store. The iBitz kids' app allows them to earn rewards and explore the galaxy in a spaceship powered by their steps. The adults' iBitz Unity app tracks the level of activity through steps, distance and calories burnt. The children version of the wearable device is sold for $34.99."	"http://ibitz.com/,https://www.facebook.com/GeoPalz,https://twitter.com/geopalz,https://plus.google.com/112678064423430638619,http://www.pinterest.com/geopalz/"	Geopalz	"Feet,Waist"	Jul-13	iOS	$49.99 USD	Bluetooth	"Fitness,Medical"	10280507.jpg?itok=-P5n2AWg	Productivity	Disposable Battery	Accelerometer
69	GlassUp	GlassUp	"Optinvent Ora-S,Intelligent Headset,Vigo Fatigue Monitor,Fun'iki Ambient Glasses,Icedot Crash Sensor"	"          The GlassUp is a wearable glasses that can display incoming emails, notifications and text messages. The GlassUp is compatible with most smart phones and using Bluetooth the text messages from smart phones are transmitted to the device for display on the glasses. The messages are displayed on the right sides of the glasses on a resolution of 320x240. The company is working on developing Apps that will be compatible with the device such as translator and GPS."	"http://www.glassup.net/,https://www.facebook.com/glassupproject,https://twitter.com/GlassUp,https://plus.google.com/104123327132501818361/posts,http://www.pinterest.com/pin/152278031123575896/"	GlassUp	Head	Sep-14	"iOS,Android,Windows Mobile"	$399.00 USD	Bluetooth	"Lifestyle,Gaming,Entertainment,Fitness"	01-glassup-190713.jpg?itok=KxF7dbFT	Productivity	Rechargeable Battery	"Accelerometer,Magnetometer,Ambient Light Sensor"
70	GoBe Activity Monitor	GoBe	"Seraphim Sense Angel Wristband,Atlas Fitness Tracker,FitBit Flex,FitBit Force,Amiigo Fitness Band"	"          GoBe is a wearable activity monitor that automatically measures calorie consumption by reading the glucose levels in the cells, through the user's skin. GoBe is compatible with all iOS and Android smart phones, providing the user with a convenient way to keep track of their calories intake and burn rate. Furthermore, the wearable device can accurately measure the heart rate using the pressure sensor from HealBe Flow technology."	"http://healbe.com/,http://www.facebook.com/myHealbe,http://twitter.com/healbe"	HealBe	Wrist	Est. June 2014	"iOS,Android,Windows,OSX"	No Announcement Yet	Bluetooth	"Fitness,Lifestyle"	GoBe.png?itok=a4I70q-p	Health	Rechargeable Battery	"Accelerometer,Skin Impedance Sensor,Oximeter"
71	Google Glass	Glass	"Recon Instruments Jet,Vuzix M100 Smart Glasses,Optinvent Ora-S,Epson Moverio BT-200,Avegant Glyph"	"          Google Glass%u2122 is a head-mounted wearable computer, which projects a transparent screen in front of the user%u2019s field of vision. The device is similar to a pair of glasses and contains a prism display above the user%u2019s right eye. The display projects a translucent screen equivalent to a 25-inch monitor roughly eight feet away. Combined with its other componentry and software, Glass has similar capabilities to that of a SmartPhone."	"http://www.google.com/glass,https://twitter.com/googleglass,https://www.facebook.com/GoogleGlass,https://plus.google.com/+GoogleGlass,http://www.youtube.com/user/googleglass/videos,http://www.pinterest.com/googleglass/"	Google [x]	Head	Est. 2014	"Android,iOS,Windows Mobile,OSX,Windows,Linux"	"$1,500.00 USD"	"Bluetooth,WiFi,USB"	Lifestyle	Google%20Glass.png?itok=r7IQa9jy	Communication	Rechargeable Battery	"Accelerometer,Clock,Bone Conduction Speaker,DLP Display,GPS,Gyroscope,Microphone,Photo Camera,Video Camera,Touch Interface"
72	GOQii Activity Band	GOQii	"LG Lifeband Touch,Atlas Fitness Tracker,FitBit Force,Razer Nabu,Samsung Gear 2 Neo"	"          The GOQii Band is an advanced wearable fitness tracker with a water resistant construction and skin sensitive materials. Key functions include a watch, tracking steps, calories, distance, active time and Karma Points, a virtual currency for philanthropy and the human connection to motivate the user. While the device is free, the coaching service starts at $99 for 6 months and $169 for a year. GOQii collaborates with some of the world's leading experts to deliver sustained engagement & goal reinforcement to the end user, increasing the potential for a healthier lifestyle."	"http://goqii.com/,https://www.facebook.com/GOQiiLife,https://twitter.com/goqiilife,https://plus.google.com/u/0/102919534105602948018/about"	GOQii Inc	Wrist	Est. Apr 2014	"Windows,Android"	$169.00 USD	Bluetooth	"Fitness,Lifestyle"	device.png?itok=4BhOq3Wv	Health	Rechargeable Battery	"Accelerometer,Clock,OLED Display,Pedometer,Touch Interface,Vibrator"
73	HC1 HeadSet Computer	HC1 HeadSet Computer	"Vuzix M100 Smart Glasses,Vuzix M2000AR ,SMI Eye Tracking Glasses,Air Scouter,Optinvent Ora-S"	"          The HC1 HeadSet computer is a wearable device equipped with a camera and microphone that allows the user to remotely collaborate with other people. This device provides advanced speech recognition technology that can support 6 different languages for voice command and applications. The accelerometer and compass provide smooth gesture control and accurate direction for navigating through applications. The device comes with a wide range of accessories including battery chargers, carrying case, earbuds and case straps."	"http://www.motorolasolutions.com/US-EN/Business+Product+and+Services/Mobile+Computers/Wearable+Computers/HC1,http://www.facebook.com/MotorolaSolutions,http://pinterest.com/motosolutions/,http://twitter.com/motoretail,http://www.youtube.com/user/MotorolaSolutions"	Motorola Solutions	Head	Undisclosed	Windows	No Announcement Yet	Bluetooth	"Industrial,Lifestyle"	motorola_hc1.jpg?itok=Hoj6Ht6u	Communication	Rechargeable Battery	"Audio Speaker,Microphone,Photo Camera,Video Camera,Accelerometer,Gyroscope,Vibrator,Button Interface"
74	Heapsylon Sensoria Sock	senSoria	"Athos,Mbody Smart System,BSX Insight,Cyberdyne HAL,Catapult OptimEye S5"	          The Sensoria Sock is a pressure sensing textile sock that accurately records user's footsteps base on the pressure and timing of the foot landing.  It offers better result than the traditional accelerometer based wearable devices which measure limb movements to calculate foot steps taken.  It also detects cadence and balance for the wearer.  There is also a new T-Shirt version which uses similar textile to monitor the wearer's heart rate.	"http://www.heapsylon.com/#&panel1-1,http://www.youtube.com/user/SensoriaFitness,https://www.facebook.com/pages/Heapsylon/520435181334936,https://twitter.com/Heapsylon,https://plus.google.com/108945590477559968579/posts"	Heapsylon	"Legs,Torso"	Est. Feb 2014	iOS	$199.00 USD	Bluetooth	Fitness	Heapsylon%20senSoria_0.jpg?itok=l4ZAomkA	Health	Rechargeable Battery	"Accelerometer,Altimeter,Pressure Sensor"
75	HereO	HereO	"Filip Smartwatch,PFO Safety Bracelet,Trax GPS Tracker,Zypad WL1500,KMS Wristband"	"          The HereO is a smart watch for kids equipped with GPS tracking technology, which parents, nannies and family members can use to locate the children who wear it. This wearable device works with the Family Location"" App that allows family members to geographically spot one another and establish communication. The locations of each device is updated in real-time and safe-zone alerts warn parents if their children step out of the preset area. The App also allows users to broadcast messages to other computers."	"http://www.hereofamily.com/,https://www.facebook.com/hereOfamily,https://twitter.com/hereofamily,https://plus.google.com/105258844693995732937"	HereO	Wrist	Undisclosed	"iOS,Android"	No Announcement Yet	Cellular Network	Lifestyle	hereo-watch-colors-100250829-large.jpg?itok=p7t4HaB3	Communication	Rechargeable Battery	"GPS,Clock,Accelerometer"
76	Hexoskin	Hexoskin	"Bioharness 3,Preventice BodyGuardian,OMsignal,Rest Devices Mimo,Nuubo nECG Minder"	"          The Hexoskin is a hi tech fabric shirt with built-in sensors that can measure fitness data such as heart rate, breathing rate and step count. Carré Technologies created multiple Apps that are built for the Hexoskin each providing different assistance to suit the users needs. One of the App, called HxDashboard is used to display the fitness data and analyze individual fitness performance. The wearable device contains 150 hours of data storage capacity and automatically syncs data to in-range mobile devices with wireless connectivity."	"http://www.hexoskin.com/en,http://www.facebook.com/Hexoskin,http://twitter.com/hexoskin,http://www.youtube.com/user/Hexoskin,http://pinterest.com/hexoskin/"	Carré Technologies	Torso	Available Now	"iOS,Windows,OSX,Android"	$399.00 USD	"Bluetooth,USB"	"Fitness,Lifestyle"	Hexoskin.png?itok=vTeDWZo5	Training	Rechargeable Battery	"Respiratory Monitor,Heart Rate Monitor,Pedometer,ECG Sensor,Accelerometer"
77	Hövding Airbag for Cyclists	Hövding	"Icedot Crash Sensor,LG Heart Rate Earphones,EyeTap Digital Eye Glasses,NTT Docomo AR Walker,O-Synce Screeneye X"	"          Hövding is a wearable device which works as an airbag for cyclists and offers greater protection than a regular helmet. Hövding is a stylish neck-worn device that will inflate in case of a shock and protect the user's head. Hövding contains sensors that constantly monitor changes in velocity and angles of the cyclist compared to the road, in order to determine abnormal situations and accidents. Inflation is created by helium canister placed in the circular part of the device. The airbag is made out of ultra-strong nylon fabric that will not rip when scraped on the ground, and it provides shock absorption superior to the one of a basic helmet."	"http://www.hovding.com/,http://pinterest.com/search/pins/?q=h%C3%B6vding"	Hövding	Head	Available Now	Undisclosed	$540.00 USD	USB	Fitness	hovding_0.png?itok=LF1pnkhm	Safety	Rechargeable Battery	Undisclosed
78	HXM Smart	HXM Smart	"4iiii Viiiiva,Withings Pulse,Qardio QardioCore,Run-N-Read,Sensible Baby Smart One"	"          HXM Smart is a wearable activity-monitoring device that is compatible with Android and iOS devices. This system is worn on the chest and monitors activity levels, heart rate and respiratory rate of the user. It wirelessly transmits the data to smart phones for the user to view and analyze. HXM Smart uses a soft and elastic fabric for its strap, providing maximum comfort for the user."	"http://www.zephyranywhere.com/products/hxm-smart-heart-rate-monitor/,http://www.twitter.com/zephyranywhere,https://www.facebook.com/ZephyrTechnology,http://www.youtube.com/user/zephyrpsm"	Zephyr	Chest	Available Now	"Android,iOS"	$54.95 USD	Bluetooth	Fitness	zephyr.png?itok=4t8Yx_VE	Productivity	Rechargeable Battery	"Accelerometer,Heart Rate Monitor,Respiratory Monitor,ECG Sensor"
79	I-limb Ultra	I-limb Ultra	"Peregrine,BEARTek Bluetooth Gloves,SensoGlove,Fujitsu Glove-Style Wearable Device,Fatigue Science Readiband"	"          I-limb Ultra is a prosthetic hand developed by Touch Bionics. It provides a wide selection of grips and gestures to increase dexterity of the hand. One of the main features of this wearable device is the powered rotating thumb that can switch automatically between lateral and oppositional grip patterns.The device has 24 different grip features and flexible wrist movements. I-limb Ultra is compatible with iOS, Windows and OSX devices and works with an App called Biosim. Thanks to this app, users can remotely control the prosthetic hand via their smart phones."	"http://www.touchbionics.com/products/active-prostheses/i-limb-ultra/,https://twitter.com/#!/TouchBionics,http://www.youtube.com/user/touchbionics"	Touch Bionics	Hand	Undisclosed	"iOS,Windows,OSX"	No Announcement Yet	Bluetooth	"Medical,Industrial"	i-limb%20ultra.png?itok=x_j_iG6V	Productivity	Rechargeable Battery	Undisclosed
80	I%u2019m S.p.A I%u2019m Watch	I%u2019m Watch	"Mykronoz ZeNano,Mykronoz ZeWatch & ZeBracelet,PUSH Fitness Tracker,Agent Smartwatch,Omate TrueSmart Watch"	"          The I%u2019m S.p.A I%u2019m Watch wearable device is a wrist-worn version of a smartphone. It allows a user-friendly navigation of all iOS, Androids and Blackberry apps via touch screen display. Native applications such as Social Media, Weather and News apps are built-in. The I'm Watch can be used in fitness training as well, thanks to multiple sports apps available for download. It can also help business professionals by providing a non-disruptive way of accessing emails and messages."	"http://www.imsmart.com/en/i-m-watch/overview,https://www.facebook.com/imwatch,https://twitter.com/imcollection,https://plus.google.com/s/i"	I%u2019m S.p.A	Wrist	Available Now	"Android,iOS,Blackberry"	$399.00 USD	"USB,Bluetooth"	Lifestyle	I%E2%80%99m%20S.p.A%20I%E2%80%99m%20Watch.jpg?itok=vCIagAOa	Communication	Rechargeable Battery	"Accelerometer,Magnetometer,Audio Speaker,Microphone,Clock,Touch Interface"
81	Icedot Crash Sensor	Crash Sensor	"LG Heart Rate Earphones,Laster Pro Mobile Display,Intelligent Headset,GlassUp,Vigo Fatigue Monitor"	"          The ICEdot Crash Sensor is an emergency ID and notification device that mounts to most helmets and can detect critical impacts that are deemed as dangerous. This wearable device pairs wirelessly with it's companion app running on a user's smart phone. When a critical force is detected, a sensor triggers an alarm to go off on the user's paired phone. If the alarm is not disabled, it automatically alerts the pre-specified emergency contacts via SMS. It also includes a link to the user's current GPS coordinates if available."	"https://icedot.org/site/how-it-works/?lang=en,https://www.facebook.com/ICEdotCommunity,https://twitter.com/ICEdotCommunity,http://www.youtube.com/user/ICEdotforemergencies,https://plus.google.com/u/0/103553474824736278856/videos"	Icedot	Head	Available Now	"Android,iOS"	$149.00 USD	Bluetooth	"Fitness,Lifestyle"	Icedot%20Snap_0.jpg?itok=JqXC6u_l	Health	Rechargeable Battery	"Accelerometer,Gyroscope"
82	iHealth Activity And Sleep Tracker	Activity And Sleep Tracker	"LUMO Back,Proteus Helius,Game Golf,Geopalz iBitz,Theatro "	"          The iHealth Activity And Sleep Tracker is a wearable device that tracks daily activity and sleep. Water-resistant, this hi tech device counts steps and measures calories burnt, distance traveled, sleep hours and sleep efficiency. It connects to smartphones over Bluetooth and synchronizes the recorded data into the iHealth MyVitals application. By keeping track, identifying trends and setting fitness goals, the Activity And Sleep Tracker is a good motivational tool for people who wish to lead a healthier lifestyle. It can be worn as a wristband or a clasp."	"http://www.ihealthlabs.com/health-and-fitness-products-wireless-activity-and-sleep-tracker_81.htm,https://twitter.com/iHealthLab,https://www.facebook.com/iHealthLab,https://plus.google.com/117137656364926400097/posts,http://www.youtube.com/user/iHealthLabs"	iHealth	"Wrist,Waist"	Available Now	iOS	$59.95 USD	Bluetooth	Fitness	iHealth%20Activity%20Monitor.png?itok=9W_qwcOF	Health	Rechargeable Battery	Undisclosed
